Time [s];Raw Voltage [V];Calibrated Force [mN];Frequency [Hz]
3729186391.732;0.00332;-4.44407;1.81464
3729186391.742;0.0034;3.11441;1.82239
3729186391.752;0.00337;0.27998;1.82108
3729186391.762;0.00339;1.85466;1.82664
3729186391.772;0.00341;3.74428;1.84393
3729186391.782;0.00338;1.22479;1.8429
3729186391.792;0.00336;-0.34989;1.85223
3729186391.802;0.00335;-1.92458;1.86368
3729186391.812;0.00338;0.90985;1.86053
3729186391.822;0.00339;2.48453;1.87438
3729186391.832;0.00336;-0.66483;1.88613
3729186391.842;0.00337;0.27998;1.89106
3729186391.852;0.00335;-1.60964;1.89988
3729186391.862;0.00331;-5.38888;1.90091
3729186391.872;0.00335;-1.92458;1.91348
3729186391.882;0.00336;-0.66483;1.89799
3729186391.892;0.00338;1.22479;1.88378
3729186391.902;0.00332;-4.759;1.89551
3729186391.912;0.00326;-10.11292;1.88906
3729186391.922;0.00343;6.57871;1.87146
3729186391.932;0.00332;-4.44407;1.86646
3729186391.942;0.00335;-1.60964;1.84609
3729186391.952;0.00339;1.85466;1.84826
3729186391.962;0.00336;-0.34989;1.83551
3729186391.972;0.00335;-1.92458;1.83357
3729186391.982;0.00352;15.08199;1.83412
3729186391.992;0.00335;-1.60964;1.81809
3729186392.002;0.00335;-1.92458;1.8174
3729186392.012;0.00331;-5.70381;1.8028
3729186392.022;0.00341;4.37415;1.78386
3729186392.032;0.00336;-0.34989;1.77829
3729186392.042;0.00337;-0.03496;1.75874
3729186392.052;0.00338;0.90985;1.7411
3729186392.062;0.00341;4.05922;1.72886
3729186392.072;0.00336;-0.66483;1.71854
3729186392.082;0.00339;2.48453;1.71241
3729186392.092;0.00339;1.85466;1.72565
3729186392.102;0.00337;0.59491;1.74855
3729186392.112;0.00342;4.68909;1.77201
3729186392.122;0.00337;0.59491;1.80254
3729186392.132;0.00339;1.85466;1.82648
3729186392.142;0.0034;3.42934;1.8673
3729186392.152;0.00336;-0.97977;1.86991
3729186392.162;0.00335;-1.2947;1.86137
3729186392.172;0.00337;-0.03496;1.8682
3729186392.182;0.00334;-2.86939;1.85623
3729186392.192;0.00336;-0.34989;1.84429
3729186392.202;0.00333;-3.8142;1.83056
3729186392.212;0.00321;-15.15191;1.82056
3729186392.222;0.00333;-3.18432;1.83911
3729186392.232;0.00332;-4.44407;1.83099
3729186392.242;0.0033;-6.33369;1.81785
3729186392.252;0.00335;-1.92458;1.82244
3729186392.262;0.00335;-1.2947;1.82247
3729186392.272;0.00338;0.90985;1.819
3729186392.282;0.00336;-0.66483;1.817
3729186392.292;0.00341;4.37415;1.81652
3729186392.302;0.00342;5.00403;1.83526
3729186392.312;0.00337;0.27998;1.84061
3729186392.322;0.00336;-0.97977;1.83283
3729186392.332;0.0034;3.42934;1.85033
3729186392.342;0.00335;-1.60964;1.85825
3729186392.352;0.00334;-2.55445;1.85625
3729186392.362;0.00336;-0.34989;1.85883
3729186392.372;0.00336;-0.34989;1.8667
3729186392.382;0.00335;-1.92458;1.90173
3729186392.392;0.00335;-1.60964;1.89986
3729186392.402;0.00338;1.22479;1.90017
3729186392.412;0.00339;2.1696;1.91303
3729186392.422;0.00334;-2.86939;1.90229
3729186392.432;0.00336;-0.97977;1.89703
3729186392.442;0.00333;-3.18432;1.89647
3729186392.452;0.00335;-1.2947;1.87805
3729186392.462;0.00334;-2.55445;1.88541
3729186392.472;0.00354;16.65667;1.87322
3729186392.482;0.00336;-0.97977;1.85861
3729186392.492;0.00336;-0.66483;1.84651
3729186392.502;0.00332;-4.44407;1.83708
3729186392.512;0.00336;-0.66483;1.84353
3729186392.522;0.00335;-1.60964;1.83881
3729186392.532;0.00336;-0.34989;1.82074
3729186392.542;0.00332;-4.12913;1.82524
3729186392.552;0.00337;0.27998;1.81079
3729186392.562;0.00337;0.59491;1.79078
3729186392.572;0.0034;3.11441;1.78103
3729186392.582;0.00334;-2.86939;1.7608
3729186392.592;0.00338;0.90985;1.75037
3729186392.602;0.00339;2.48453;1.73937
3729186392.612;0.0034;3.42934;1.71714
3729186392.622;0.0034;3.42934;1.72656
3729186392.632;0.00339;1.85466;1.71928
3729186392.642;0.00339;2.1696;1.71978
3729186392.652;0.00339;1.85466;1.75649
3729186392.662;0.00335;-1.92458;1.78698
3729186392.672;0.00338;0.90985;1.81874
3729186392.682;0.00345;8.15339;1.85265
3729186392.692;0.0034;3.11441;1.86926
3729186392.702;0.00329;-7.59343;1.86841
3729186392.712;0.00336;-0.97977;1.87257
3729186392.722;0.00335;-1.60964;1.85551
3729186392.732;0.00337;0.59491;1.85166
3729186392.742;0.00332;-4.759;1.84136
3729186392.752;0.00338;1.22479;1.82629
3729186392.762;0.00338;0.90985;1.83229
3729186392.772;0.00335;-1.60964;1.82466
3729186392.782;0.00334;-2.55445;1.83362
3729186392.792;0.00347;9.72807;1.8375
3729186392.802;0.00335;-1.60964;1.81686
3729186392.812;0.00338;1.53972;1.82594
3729186392.822;0.00336;-0.34989;1.82262
3729186392.832;0.0034;3.11441;1.82351
3729186392.842;0.0034;3.42934;1.83031
3729186392.852;0.00336;-0.97977;1.82983
3729186392.862;0.00334;-2.55445;1.83645
3729186392.872;0.00336;-0.97977;1.84463
3729186392.882;0.00335;-1.92458;1.84652
3729186392.892;0.00339;2.48453;1.86049
3729186392.902;0.00338;1.53972;1.8597
3729186392.912;0.00335;-1.92458;1.86267
3729186392.922;0.00336;-0.66483;1.8853
3729186392.932;0.00334;-2.86939;1.88831
3729186392.942;0.00335;-1.92458;1.90377
3729186392.952;0.00335;-1.2947;1.91255
3729186392.962;0.00342;5.00403;1.89445
3729186392.972;0.00336;-0.97977;1.89583
3729186392.982;0.00335;-1.92458;1.88575
3729186392.992;0.00336;-0.66483;1.88996
3729186393.002;0.00335;-1.2947;1.89306
3729186393.012;0.00335;-1.92458;1.86895
3729186393.022;0.00336;-0.97977;1.86794
3729186393.032;0.00333;-3.18432;1.85416
3729186393.042;0.00336;-0.34989;1.84701
3729186393.052;0.00345;8.15339;1.84571
3729186393.062;0.00337;-0.03496;1.8372
3729186393.072;0.00339;2.48453;1.83567
3729186393.082;0.00336;-0.34989;1.83243
3729186393.092;0.00332;-4.759;1.81768
3729186393.102;0.00333;-3.18432;1.80784
3729186393.112;0.00336;-0.66483;1.79254
3729186393.122;0.00338;0.90985;1.77919
3729186393.132;0.00338;1.53972;1.76578
3729186393.142;0.00338;1.22479;1.74976
3729186393.152;0.00342;4.68909;1.73143
3729186393.162;0.00338;1.22479;1.72726
3729186393.172;0.00341;3.74428;1.71447
3729186393.182;0.00338;1.53972;1.72113
3729186393.192;0.00339;1.85466;1.744
3729186393.202;0.00339;2.48453;1.7673
3729186393.212;0.00343;5.94883;1.8137
3729186393.222;0.00337;-0.03496;1.83195
3729186393.232;0.00343;5.94883;1.8392
3729186393.242;0.00339;2.48453;1.85886
3729186393.252;0.00335;-1.2947;1.86179
3729186393.262;0.00337;-0.03496;1.85953
3729186393.272;0.00335;-1.92458;1.85526
3729186393.282;0.00333;-3.18432;1.84449
3729186393.292;0.00336;-0.66483;1.85011
3729186393.302;0.00334;-2.23951;1.83593
3729186393.312;0.00336;-0.34989;1.8276
3729186393.322;0.00336;-0.66483;1.83651
3729186393.332;0.00331;-5.70381;1.8309
3729186393.342;0.00336;-0.34989;1.81962
3729186393.352;0.00338;1.22479;1.81678
3729186393.362;0.00339;2.48453;1.81623
3729186393.372;0.0034;3.42934;1.83392
3729186393.382;0.00334;-2.23951;1.83134
3729186393.392;0.00344;7.20858;1.81865
3729186393.402;0.00339;2.48453;1.83575
3729186393.412;0.00335;-1.92458;1.84201
3729186393.422;0.00337;0.59491;1.84561
3729186393.432;0.00337;-0.03496;1.85623
3729186393.442;0.00336;-0.97977;1.85562
3729186393.452;0.00338;0.90985;1.87898
3729186393.462;0.00334;-2.55445;1.88424
3729186393.472;0.00337;0.27998;1.89552
3729186393.482;0.00334;-2.23951;1.90791
3729186393.492;0.00335;-1.2947;1.90774
3729186393.502;0.00336;-0.34989;1.92004
3729186393.512;0.00334;-2.86939;1.92223
3729186393.522;0.00331;-6.01875;1.89633
3729186393.532;0.00338;0.90985;1.89755
3729186393.542;0.00333;-3.8142;1.89762
3729186393.552;0.00337;-0.03496;1.89114
3729186393.562;0.00333;-3.8142;1.88148
3729186393.572;0.00336;-0.66483;1.86198
3729186393.582;0.00333;-3.18432;1.85636
3729186393.592;0.00334;-2.55445;1.8474
3729186393.602;0.00338;0.90985;1.83641
3729186393.612;0.00336;-0.97977;1.84193
3729186393.622;0.00337;0.27998;1.83167
3729186393.632;0.00339;2.1696;1.82409
3729186393.642;0.00332;-4.12913;1.81527
3729186393.652;0.0034;3.42934;1.79153
3729186393.662;0.0034;3.11441;1.80078
3729186393.672;0.00336;-0.66483;1.7771
3729186393.682;0.00339;2.48453;1.75068
3729186393.692;0.0034;2.79947;1.74629
3729186393.702;0.00339;1.85466;1.73534
3729186393.712;0.0034;3.11441;1.72731
3729186393.722;0.0034;3.11441;1.72437
3729186393.732;0.00337;0.59491;1.73371
3729186393.742;0.00344;7.52352;1.7602
3729186393.752;0.00338;1.53972;1.79294
3729186393.762;0.00334;-2.23951;1.8165
3729186393.772;0.00338;0.90985;1.8533
3729186393.782;0.00337;-0.03496;1.88091
3729186393.792;0.00335;-1.2947;1.86329
3729186393.802;0.00339;2.48453;1.87737
3729186393.812;0.00338;1.53972;1.87107
3729186393.822;0.0034;2.79947;1.85794
3729186393.832;0.00332;-4.759;1.84465
3729186393.842;0.0033;-6.96356;1.82525
3729186393.852;0.00336;-0.66483;1.84415
3729186393.862;0.00335;-1.92458;1.84173
3729186393.872;0.00334;-2.55445;1.82697
3729186393.882;0.00339;2.1696;1.83167
3729186393.892;0.00331;-5.38888;1.82367
3729186393.902;0.00348;11.30275;1.82575
3729186393.912;0.00339;1.85466;1.82539
3729186393.922;0.00337;0.59491;1.82502
3729186393.932;0.00336;-0.97977;1.84108
3729186393.942;0.00349;11.93263;1.83918
3729186393.952;0.00338;1.53972;1.83906
3729186393.962;0.00335;-1.60964;1.85404
3729186393.972;0.00337;0.27998;1.86102
3729186393.982;0.00338;0.90985;1.86258
3729186393.992;0.00337;0.59491;1.86404
3729186394.002;0.00326;-10.7428;1.86609
3729186394.012;0.0034;3.42934;1.8944
3729186394.022;0.00335;-1.60964;1.90325
3729186394.032;0.00336;-0.97977;1.90123
3729186394.042;0.00336;-0.97977;1.91409
3729186394.052;0.00337;-0.03496;1.90233
3729186394.062;0.00335;-1.92458;1.90634
3729186394.072;0.0033;-6.33369;1.90033
3729186394.082;0.00337;0.59491;1.88056
3729186394.092;0.00341;3.74428;1.89988
3729186394.102;0.00336;-0.66483;1.88679
3729186394.112;0.00335;-1.92458;1.87678
3729186394.122;0.00336;-0.66483;1.87015
3729186394.132;0.00333;-3.18432;1.85594
3729186394.142;0.00332;-4.12913;1.85446
3729186394.152;0.00335;-1.2947;1.8473
3729186394.162;0.00328;-8.22331;1.84066
3729186394.172;0.00337;0.59491;1.83672
3729186394.182;0.00335;-1.60964;1.82471
3729186394.192;0.00335;-1.2947;1.80723
3729186394.202;0.00337;-0.03496;1.80229
3729186394.212;0.00335;-1.2947;1.78303
3729186394.222;0.00337;-0.03496;1.7803
3729186394.232;0.00336;-0.66483;1.76504
3729186394.242;0.00341;3.74428;1.73576
3729186394.252;0.00337;-0.03496;1.73169
3729186394.262;0.00338;1.22479;1.72899
3729186394.272;0.00339;2.1696;1.73581
3729186394.282;0.0034;3.42934;1.771
3729186394.292;0.00341;4.37415;1.78585
3729186394.302;0.00342;5.6339;1.81036
3729186394.312;0.00338;1.22479;1.83353
3729186394.322;0.00337;0.27998;1.84917
3729186394.332;0.00338;1.22479;1.87353
3729186394.342;0.00337;0.27998;1.87372
3729186394.352;0.00335;-1.2947;1.8593
3729186394.362;0.00332;-4.12913;1.86208
3729186394.372;0.00321;-15.15191;1.84943
3729186394.382;0.00336;-0.97977;1.83539
3729186394.392;0.00335;-1.92458;1.8404
3729186394.402;0.00332;-4.759;1.83567
3729186394.412;0.00336;-0.97977;1.8407
3729186394.422;0.00336;-0.97977;1.8354
3729186394.432;0.00336;-0.97977;1.82436
3729186394.442;0.00333;-3.49926;1.83666
3729186394.452;0.00326;-10.7428;1.83515
3729186394.462;0.0034;3.42934;1.83399
3729186394.472;0.0034;3.11441;1.83711
3729186394.482;0.00336;-0.34989;1.8283
3729186394.492;0.00372;34.60805;1.85387
3729186394.502;0.00337;0.59491;1.85596
3729186394.512;0.00338;1.53972;1.85524
3729186394.522;0.00336;-0.97977;1.86878
3729186394.532;0.00332;-5.07394;1.86661
3729186394.542;0.00339;1.85466;1.87027
3729186394.552;0.00335;-1.60964;1.88776
3729186394.562;0.00334;-2.55445;1.89116
3729186394.572;0.00336;-0.97977;1.90122
3729186394.582;0.00334;-2.86939;1.91087
3729186394.592;0.00343;6.57871;1.91559
3729186394.602;0.00339;2.1696;1.90872
3729186394.612;0.00338;1.53972;1.89374
3729186394.622;0.00337;-0.03496;1.89949
3729186394.632;0.00332;-4.44407;1.90478
3729186394.642;0.00338;1.53972;1.88985
3729186394.652;0.00335;-1.60964;1.88567
3729186394.662;0.00333;-3.18432;1.86877
3729186394.672;0.00338;1.53972;1.85997
3729186394.682;0.00334;-2.23951;1.85978
3729186394.692;0.00332;-4.12913;1.83384
3729186394.702;0.00336;-0.97977;1.84017
3729186394.712;0.00336;-0.34989;1.83225
3729186394.722;0.00338;1.53972;1.82401
3729186394.732;0.00338;1.22479;1.81526
3729186394.742;0.00336;-0.66483;1.79169
3729186394.752;0.00338;1.53972;1.78807
3729186394.762;0.00339;2.48453;1.77128
3729186394.772;0.00333;-3.18432;1.74943
3729186394.782;0.00343;6.26377;1.75126
3729186394.792;0.00336;-0.34989;1.73859
3729186394.802;0.00335;-1.60964;1.7157
3729186394.812;0.00338;1.53972;1.72709
3729186394.822;0.00342;4.68909;1.7537
3729186394.832;0.00339;1.85466;1.77948
3729186394.842;0.00337;0.59491;1.81536
3729186394.852;0.00337;0.27998;1.83568
3729186394.862;0.0033;-6.64862;1.85352
3729186394.872;0.00331;-5.38888;1.8755
3729186394.882;0.00337;0.27998;1.86978
3729186394.892;0.00337;0.27998;1.87818
3729186394.902;0.00328;-8.85318;1.86908
3729186394.912;0.00335;-1.2947;1.8551
3729186394.922;0.00338;1.22479;1.85024
3729186394.932;0.00334;-2.86939;1.83567
3729186394.942;0.00336;-0.34989;1.83663
3729186394.952;0.00335;-1.2947;1.84123
3729186394.962;0.00333;-3.18432;1.82847
3729186394.972;0.00337;0.59491;1.8305
3729186394.982;0.00349;11.61769;1.82962
3729186394.992;0.00339;1.85466;1.83181
3729186395.002;0.00338;1.22479;1.83648
3729186395.012;0.00337;0.27998;1.83034
3729186395.022;0.0034;3.11441;1.82654
3729186395.032;0.00335;-1.92458;1.83978
3729186395.042;0.00336;-0.34989;1.84112
3729186395.052;0.00338;1.53972;1.85207
3729186395.062;0.00341;4.37415;1.85929
3729186395.072;0.00338;1.53972;1.86066
3729186395.082;0.00333;-3.18432;1.87081
3729186395.092;0.00338;1.53972;1.87433
3729186395.102;0.00335;-1.60964;1.90361
3729186395.112;0.00335;-1.92458;1.91785
3729186395.122;0.00335;-1.2947;1.90086
3729186395.132;0.00338;1.53972;1.92175
3729186395.142;0.00334;-2.86939;1.91333
3729186395.152;0.00334;-2.23951;1.90376
3729186395.162;0.00336;-0.66483;1.90049
3729186395.172;0.00334;-2.23951;1.88911
3729186395.182;0.00336;-0.34989;1.90141
3729186395.192;0.00339;2.1696;1.88585
3729186395.202;0.00338;1.53972;1.87406
3729186395.212;0.00337;0.59491;1.86385
3729186395.222;0.00337;0.27998;1.84722
3729186395.232;0.0033;-6.33369;1.84621
3729186395.242;0.00333;-3.18432;1.8511
3729186395.252;0.00336;-0.66483;1.82602
3729186395.262;0.0034;3.42934;1.82544
3729186395.272;0.00334;-2.23951;1.81712
3729186395.282;0.00339;2.48453;1.7987
3729186395.292;0.00331;-6.01875;1.79496
3729186395.302;0.00339;2.48453;1.76913
3729186395.312;0.00342;5.31896;1.7606
3729186395.322;0.00336;-0.97977;1.75251
3729186395.332;0.00336;-0.97977;1.73046
3729186395.342;0.0034;3.11441;1.7417
3729186395.352;0.00332;-4.759;1.73852
3729186395.362;0.00337;0.59491;1.73844
3729186395.372;0.00342;5.6339;1.77228
3729186395.382;0.00343;6.26377;1.79661
3729186395.392;0.00339;2.48453;1.82188
3729186395.402;0.00337;0.59491;1.8526
3729186395.412;0.00345;8.15339;1.86996
3729186395.422;0.00336;-0.34989;1.87688
3729186395.432;0.00334;-2.23951;1.88376
3729186395.442;0.00337;0.59491;1.85781
3729186395.452;0.00336;-0.34989;1.85292
3729186395.462;0.00336;-0.97977;1.84187
3729186395.472;0.00352;14.76705;1.8265
3729186395.482;0.00331;-6.01875;1.83266
3729186395.492;0.00335;-1.60964;1.82584
3729186395.502;0.00337;0.59491;1.83372
3729186395.512;0.00334;-2.55445;1.84029
3729186395.522;0.00334;-2.23951;1.82114
3729186395.532;0.00339;2.1696;1.8318
3729186395.542;0.00335;-1.92458;1.83043
3729186395.552;0.00341;3.74428;1.82842
3729186395.562;0.00337;0.27998;1.83402
3729186395.572;0.00335;-1.2947;1.83033
3729186395.582;0.00337;0.27998;1.85224
3729186395.592;0.00336;-0.97977;1.86326
3729186395.602;0.00337;0.59491;1.85304
3729186395.612;0.00335;-1.60964;1.86538
3729186395.622;0.00334;-2.86939;1.8691
3729186395.632;0.00337;0.59491;1.8746
3729186395.642;0.00336;-0.66483;1.89384
3729186395.652;0.00335;-1.92458;1.89637
3729186395.662;0.00337;-0.03496;1.9173
3729186395.672;0.00336;-0.97977;1.9198
3729186395.682;0.00335;-1.60964;1.9102
3729186395.692;0.00332;-4.44407;1.90607
3729186395.702;0.00336;-0.97977;1.894
3729186395.712;0.00337;0.59491;1.90113
3729186395.722;0.00334;-2.55445;1.90948
3729186395.732;0.00336;-0.66483;1.87636
3729186395.742;0.00337;0.27998;1.87301
3729186395.752;0.00335;-1.92458;1.85552
3729186395.762;0.00336;-0.66483;1.84581
3729186395.772;0.0033;-6.96356;1.83667
3729186395.782;0.0033;-6.33369;1.83028
3729186395.792;0.00334;-2.55445;1.8479
3729186395.802;0.00337;-0.03496;1.83557
3729186395.812;0.00342;5.00403;1.81825
3729186395.822;0.00336;-0.34989;1.81189
3729186395.832;0.00338;1.53972;1.79602
3729186395.842;0.00339;2.1696;1.7812
3729186395.852;0.00339;2.48453;1.7652
3729186395.862;0.00338;1.22479;1.74558
3729186395.872;0.00337;0.27998;1.73471
3729186395.882;0.00337;0.27998;1.72635
3729186395.892;0.0034;3.11441;1.71746
3729186395.902;0.00342;4.68909;1.73838
3729186395.912;0.00341;3.74428;1.76606
3729186395.922;0.00339;1.85466;1.77404
3729186395.932;0.0034;3.42934;1.80624
3729186395.942;0.00338;0.90985;1.83099
3729186395.952;0.00348;11.30275;1.85165
3729186395.962;0.00343;5.94883;1.86559
3729186395.972;0.0034;2.79947;1.86133
3729186395.982;0.00338;0.90985;1.86799
3729186395.992;0.00337;0.27998;1.86889
3729186396.002;0.00336;-0.97977;1.84239
3729186396.012;0.00331;-5.38888;1.83372
3729186396.022;0.00336;-0.34989;1.82846
3729186396.032;0.00338;1.53972;1.83029
3729186396.042;0.00335;-1.92458;1.83264
3729186396.052;0.00333;-3.49926;1.82566
3729186396.062;0.00336;-0.34989;1.83397
3729186396.072;0.00336;-0.66483;1.84509
3729186396.082;0.00332;-4.759;1.82688
3729186396.092;0.00335;-1.92458;1.82889
3729186396.102;0.00338;1.22479;1.8327
3729186396.112;0.00336;-0.97977;1.83149
3729186396.122;0.00338;1.53972;1.84569
3729186396.132;0.00336;-0.97977;1.84226
3729186396.142;0.00336;-0.97977;1.85675
3729186396.152;0.00335;-1.92458;1.87531
3729186396.162;0.00334;-2.86939;1.85985
3729186396.172;0.00338;1.22479;1.87151
3729186396.182;0.00332;-4.44407;1.88244
3729186396.192;0.00337;-0.03496;1.8973
3729186396.202;0.00335;-1.2947;1.90181
3729186396.212;0.00333;-3.8142;1.90576
3729186396.222;0.00335;-1.92458;1.92319
3729186396.232;0.00334;-2.55445;1.9165
3729186396.242;0.00337;-0.03496;1.90812
3729186396.252;0.00338;1.22479;1.90281
3729186396.262;0.00333;-3.8142;1.8979
3729186396.272;0.0034;3.42934;1.90397
3729186396.282;0.00332;-4.44407;1.89006
3729186396.292;0.00335;-1.92458;1.86504
3729186396.302;0.00337;0.27998;1.862
3729186396.312;0.00338;1.22479;1.85233
3729186396.322;0.00337;-0.03496;1.83911
3729186396.332;0.00332;-5.07394;1.83896
3729186396.342;0.00333;-3.18432;1.82996
3729186396.352;0.00337;0.27998;1.8418
3729186396.362;0.00336;-0.66483;1.82308
3729186396.372;0.00335;-1.92458;1.79413
3729186396.382;0.00337;-0.03496;1.79368
3729186396.392;0.00348;10.98782;1.77163
3729186396.402;0.00339;2.1696;1.75631
3729186396.412;0.00337;0.27998;1.74569
3729186396.422;0.00338;1.53972;1.72419
3729186396.432;0.00339;1.85466;1.72704
3729186396.442;0.00335;-1.60964;1.72595
3729186396.452;0.00339;2.1696;1.74606
3729186396.462;0.00343;6.57871;1.79259
3729186396.472;0.00339;1.85466;1.81727
3729186396.482;0.00341;3.74428;1.82757
3729186396.492;0.00345;8.15339;1.85784
3729186396.502;0.00339;2.48453;1.87475
3729186396.512;0.0034;2.79947;1.87399
3729186396.522;0.00336;-0.97977;1.87216
3729186396.532;0.00335;-1.60964;1.86353
3729186396.542;0.00338;1.22479;1.87405
3729186396.552;0.00332;-4.759;1.85519
3729186396.562;0.00338;0.90985;1.82882
3729186396.572;0.00335;-1.92458;1.84134
3729186396.582;0.00329;-7.2785;1.84075
3729186396.592;0.00336;-0.66483;1.83941
3729186396.602;0.00338;0.90985;1.83725
3729186396.612;0.00334;-2.23951;1.83322
3729186396.622;0.00337;0.27998;1.85157
3729186396.632;0.00338;0.90985;1.8436
3729186396.642;0.00336;-0.97977;1.83445
3729186396.652;0.00337;0.59491;1.84248
3729186396.662;0.00336;-0.66483;1.84421
3729186396.672;0.00327;-9.16811;1.84838
3729186396.682;0.00332;-4.44407;1.85859
3729186396.692;0.00336;-0.66483;1.86187
3729186396.702;0.00335;-1.92458;1.87361
3729186396.712;0.00337;0.27998;1.87526
3729186396.722;0.00342;4.68909;1.88339
3729186396.732;0.00334;-2.55445;1.90622
3729186396.742;0.00335;-1.92458;1.90422
3729186396.752;0.00339;2.1696;1.9194
3729186396.762;0.0033;-6.96356;1.92712
3729186396.772;0.00334;-2.55445;1.90646
3729186396.782;0.00336;-0.97977;1.91063
3729186396.792;0.00338;0.90985;1.89948
3729186396.802;0.00337;0.59491;1.89657
3729186396.812;0.00334;-2.55445;1.9044
3729186396.822;0.00333;-3.49926;1.88082
3729186396.832;0.00332;-5.07394;1.87711
3729186396.842;0.00334;-2.23951;1.86723
3729186396.852;0.00338;1.22479;1.86184
3729186396.862;0.00336;-0.34989;1.85552
3729186396.872;0.00336;-0.66483;1.84316
3729186396.882;0.00342;5.6339;1.84618
3729186396.892;0.00332;-4.759;1.84391
3729186396.902;0.00335;-1.92458;1.81495
3729186396.912;0.00344;6.89364;1.80563
3729186396.922;0.00334;-2.23951;1.79974
3729186396.932;0.0034;2.79947;1.78411
3729186396.942;0.00348;10.67288;1.77794
3729186396.952;0.00335;-1.2947;1.76165
3729186396.962;0.00341;3.74428;1.74489
3729186396.972;0.0034;2.79947;1.74012
3729186396.982;0.0034;3.11441;1.73444
3729186396.992;0.00337;0.59491;1.76193
3729186397.002;0.00336;-0.66483;1.797
3729186397.012;0.00342;5.31896;1.7985
3729186397.022;0.00341;4.37415;1.82689
3729186397.032;0.00338;1.22479;1.8461
3729186397.042;0.00342;5.00403;1.86046
3729186397.052;0.00334;-2.23951;1.86572
3729186397.062;0.00336;-0.34989;1.85914
3729186397.072;0.00336;-0.66483;1.86788
3729186397.082;0.00339;1.85466;1.86946
3729186397.092;0.00332;-4.759;1.84395
3729186397.102;0.00333;-3.8142;1.83551
3729186397.112;0.00334;-2.23951;1.83681
3729186397.122;0.00335;-1.2947;1.83944
3729186397.132;0.00333;-3.8142;1.84407
3729186397.142;0.00336;-0.34989;1.83359
3729186397.152;0.00337;0.59491;1.84074
3729186397.162;0.00337;0.59491;1.8509
3729186397.172;0.00337;0.59491;1.83277
3729186397.182;0.00338;1.22479;1.83991
3729186397.192;0.00334;-2.23951;1.83942
3729186397.202;0.00338;1.53972;1.84213
3729186397.212;0.00335;-1.2947;1.84959
3729186397.222;0.00338;1.53972;1.85079
3729186397.232;0.00337;0.59491;1.88034
3729186397.242;0.00333;-3.49926;1.88263
3729186397.252;0.00334;-2.86939;1.87432
3729186397.262;0.00336;-0.66483;1.89088
3729186397.272;0.00338;0.90985;1.90566
3729186397.282;0.00339;1.85466;1.91143
3729186397.292;0.00338;1.22479;1.91934
3729186397.302;0.00333;-3.18432;1.91908
3729186397.312;0.00337;-0.03496;1.92466
3729186397.322;0.00333;-3.49926;1.91758
3729186397.332;0.00337;0.27998;1.90488
3729186397.342;0.00335;-1.92458;1.9147
3729186397.352;0.00332;-4.12913;1.90184
3729186397.362;0.00334;-2.23951;1.8922
3729186397.372;0.00341;4.05922;1.87741
3729186397.382;0.00336;-0.97977;1.8607
3729186397.392;0.00338;0.90985;1.85672
3729186397.402;0.00333;-3.49926;1.83849
